Cliente_1;CNF;SAO;14 dias;5 estrelas;R$ 4605.19
Cliente_2;CNF;PMW;29 dias;5 estrelas;R$ 712.27
Cliente_3;PMW;CNF;15 dias;4 estrelas;R$ 172.62
Cliente_4;SAO;PMW;7 dias;4 estrelas;R$ 3431.32
Cliente_5;CNF;SAO;17 dias;2 estrelas;R$ 1191.88
Cliente_6;PMW;CNF;5 dias;2 estrelas;R$ 2896.07
Cliente_7;PMW;SAO;26 dias;3 estrelas;R$ 245.35
Cliente_8;SAO;CNF;24 dias;3 estrelas;R$ 3726.77
Cliente_9;SAO;PMW;19 dias;4 estrelas;R$ 2293.49
Cliente_10;PMW;CNF;11 dias;5 estrelas;R$ 3335.93
Cliente_11;CNF;SAO;5 dias;3 estrelas;R$ 4285.85
Cliente_12;PMW;CNF;16 dias;3 estrelas;R$ 2731.4
Cliente_13;CNF;PMW;18 dias;1 estrelas;R$ 838.99
Cliente_14;PMW;CNF;27 dias;4 estrelas;R$ 1109.62
Cliente_15;PMW;SAO;11 dias;4 estrelas;R$ 3426.93
Cliente_16;CNF;SAO;26 dias;3 estrelas;R$ 4629.11
Cliente_17;SAO;PMW;27 dias;2 estrelas;R$ 4711.61
Cliente_18;SAO;CNF;25 dias;5 estrelas;R$ 4061.01
Cliente_19;CNF;SAO;6 dias;4 estrelas;R$ 198.52
Cliente_20;SAO;PMW;2 dias;1 estrelas;R$ 743.47
Cliente_21;PMW;CNF;14 dias;3 estrelas;R$ 1690.62
Cliente_22;CNF;PMW;19 dias;4 estrelas;R$ 1076.85
Cliente_23;PMW;CNF;26 dias;3 estrelas;R$ 4127.54
Cliente_24;PMW;SAO;30 dias;4 estrelas;R$ 3142.06
Cliente_25;CNF;PMW;12 dias;3 estrelas;R$ 2828.06
Cliente_26;SAO;CNF;22 dias;4 estrelas;R$ 3622.57
Cliente_27;PMW;SAO;20 dias;3 estrelas;R$ 3066.59
Cliente_28;SAO;PMW;9 dias;1 estrelas;R$ 3155.38
Cliente_29;PMW;CNF;2 dias;5 estrelas;R$ 2738.12
Cliente_30;CNF;SAO;22 dias;2 estrelas;R$ 1546.06
Cliente_31;CNF;SAO;2 dias;2 estrelas;R$ 2771.58
Cliente_32;PMW;CNF;24 dias;5 estrelas;R$ 4231.9
Cliente_33;SAO;PMW;22 dias;1 estrelas;R$ 3798.56
Cliente_34;PMW;SAO;9 dias;3 estrelas;R$ 2939.96
Cliente_35;CNF;PMW;4 dias;3 estrelas;R$ 4212.49
Cliente_36;PMW;SAO;3 dias;5 estrelas;R$ 2759.21
Cliente_37;CNF;PMW;20 dias;4 estrelas;R$ 2786.81
Cliente_38;CNF;PMW;16 dias;2 estrelas;R$ 745.11
Cliente_39;CNF;PMW;23 dias;2 estrelas;R$ 3247.18
Cliente_40;PMW;CNF;1 dias;2 estrelas;R$ 243.59
Cliente_41;SAO;PMW;24 dias;3 estrelas;R$ 2121.07
Cliente_42;CNF;PMW;24 dias;4 estrelas;R$ 2971.82
Cliente_43;PMW;SAO;15 dias;2 estrelas;R$ 3547.1
Cliente_44;PMW;CNF;20 dias;4 estrelas;R$ 3924.23
Cliente_45;SAO;CNF;3 dias;5 estrelas;R$ 4884.41
Cliente_46;PMW;SAO;24 dias;3 estrelas;R$ 454.87
Cliente_47;SAO;PMW;4 dias;3 estrelas;R$ 529.59
Cliente_48;PMW;SAO;14 dias;1 estrelas;R$ 1432.83
Cliente_49;SAO;PMW;25 dias;2 estrelas;R$ 2682.82
Cliente_50;SAO;PMW;8 dias;3 estrelas;R$ 3628.03
Cliente_51;PMW;SAO;16 dias;1 estrelas;R$ 4963.46
Cliente_52;PMW;SAO;9 dias;1 estrelas;R$ 4621.99
Cliente_53;SAO;CNF;13 dias;1 estrelas;R$ 1067.71
Cliente_54;PMW;SAO;26 dias;4 estrelas;R$ 1427.47
